RIL,Rep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,treatment,notes,datecollected,
53,1.1,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,30/03/2022,
53,1.2,38,20,23,31,24,38,37,36,18,11,16,14,18,10,6,8,5,3,0,3,2,6,5,0,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,EMPTY,,28/03/2022,
53,1.3,12,14,27,15,7,7,9,9,16,3,2,0,1,6,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,EMPTY,,28/03/2022,
53,1.4,148,4,17,6,8,4,7,10,6,6,7,6,5,4,3,1,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,29/03/2022,
53,1.5,155,15,27,12,9,21,15,18,11,3,11,2,4,4,9,5,1,2,4,4,6,4,3,2,1,0,2,3,2,0,1,0,0,0,0,0,2,0,1,1,0,EMPTY,,4/04/2022,Into fridge one week after rest of runways
53,1.6,36,2,3,1,0,0,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,30/03/2022,
53,1.7,189,25,43,55,42,33,24,26,25,9,14,12,17,16,9,7,7,6,8,4,3,3,5,7,3,4,1,0,2,1,0,2,0,0,0,1,0,0,0,1,1,EMPTY,,28/03/2022,
53,1.8,264,10,17,13,11,5,3,3,4,0,0,4,2,0,4,0,5,4,3,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,LOLIUM,,28/03/2022,
53,1.9,415,2,10,15,16,9,7,12,19,6,13,17,8,7,8,10,10,8,3,6,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,30/03/2022,
53,2.1,464,54,76,72,77,69,50,42,53,7,14,19,19,19,11,11,9,7,5,8,2,1,5,2,1,1,2,4,2,1,0,0,2,1,0,0,1,2,0,0,0,EMPTY,,1/05/2022,
58,2.2,345,12,2,8,4,5,3,1,5,1,0,4,0,6,2,0,2,2,1,2,0,0,1,2,2,3,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,EMPTY,1 oxalis seedling in pot 2,4/05/2022,
58,2.3,1120,64,146,133,116,60,46,40,36,42,14,15,11,10,6,3,2,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LOLIUM,,1/05/2022,
58,2.4,327,25,19,41,15,21,23,5,8,2,5,9,6,3,5,0,2,2,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,4/05/2022,
58,2.5,704,7,17,11,7,12,4,6,4,1,0,3,2,1,2,0,0,0,2,0,2,2,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,1 oxalis seedling in pot 1; 2 in pot 2; 1 in pot 3,3/05/2022,
58,2.6,245,0,9,5,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,1 grass seedling in pot 4,13/05/2022,
58,2.7,398,11,17,15,13,15,14,8,2,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,Oxalis seedlings in pots: 1 in pot 1; 2 in pot 2; 4 in pot 3; 2 in pot 4; 1 in pot 5,,
58,2.8,218,18,14,18,18,8,14,4,4,2,1,2,1,1,1,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,1 oxalis seedling in pot 2; 3 oxalis seedlings in pot 3; and 1 oxalis seedling in pot 4,3/05/2022,
58,2.9,470,24,30,5,15,13,9,15,6,0,2,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LOLIUM,1 oxalis seedling in pot 1 and one oxalis seedling in pot 4,8/05/2022,
58,2.1,21,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,oxalis seedling in pot 4; turn 2.1 into 2.10!!,4/05/2022,
58,2.12,189,10,30,71,51,22,29,8,11,7,5,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,1 small grass seedlilng in pot 3; one small oxalis seedling in pot 1,8/05/2022,
144,2.2,459,22,75,42,32,46,33,14,2,1,1,3,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,1 small grass seedling found in pot 1 of runway (1 blade),14/05/2022,
144,2.4,1316,25,41,28,52,51,33,28,45,8,13,14,15,10,9,2,4,4,4,3,0,2,1,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,EMPTY,,1/05/2022,
144,2.5,1912,49,65,61,53,34,20,20,18,2,4,2,1,1,3,3,2,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,EMPTY,,13/05/2022,
144,2.8,433,43,43,40,40,15,14,10,11,3,4,4,6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,13/05/2022,
144,2.12,216,0,4,13,6,11,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,1/05/2022,
144,2.15,225,16,8,17,10,3,5,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,1/05/2022,
144,2.17,346,7,19,0,6,17,21,32,26,4,0,1,2,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,14/05/2022,
144,2.18,1132,30,15,43,30,12,13,5,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LOLIUM,,3/05/2022,
144,2.24,1234,79,95,64,56,34,34,35,13,9,11,7,4,4,3,1,2,2,2,1,2,0,0,4,1,0,1,1,2,1,2,1,0,0,0,0,1,0,0,0,0,EMPTY,cm 5 and 6 were counted at the same time by accident and so were divided in two (68/2),15/05/2022,
144,2.3,387,0,0,8,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,1 small grass seedling in pot 5; this is rep 2.30,8/05/2022,
187,1.1,1,11,6,20,5,7,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,N/A,
187,1.2,302,26,24,9,16,8,9,12,10,1,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,29/03/2022,
187,1.3,372,13,8,5,13,25,8,15,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,30/03/2022,
187,1.4,290,10,12,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,30/03/2022,
187,1.5,116,1,9,14,7,2,5,1,3,7,1,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,29/03/2022,
187,1.6,264,1,23,4,4,2,2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,28/03/2022,
187,1.9,292,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,,28/03/2023,
187,2.1,1888,90,64,74,34,34,22,21,6,5,4,2,7,2,7,4,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMPTY,,2/05/2022,
187,2.2,1129,165,211,184,151,151,79,56,71,25,20,15,12,5,9,6,8,5,5,1,1,2,0,0,4,1,0,2,4,0,0,1,0,0,1,0,0,0,0,1,0,EMPTY,,2/05/2022,
187,2.3,1508,10,14,34,22,24,14,8,13,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOLIUM,1 small grass seedling found in pot 0 (just one blade),2/05/2022,
