RIL,Rep,PlantDate,ChillTime,GermDate,BoltDate,RDBolt,FirstFlower,FirstSilique,FirstMatSilique,Habitat,IntoRunway,RunwayDown,Height,SiliqueNo,TraitDate,SeedMass
53,1.1,15/11/2021,7,25/11/2021,17/12/2021,31,20/12/2021,27/12/2021,10/1/2022,LOLIUM,6/1/2022,2/3/2022,371,1305,3/3/2022,3.036810169
53,1.2,15/11/2021,7,25/11/2021,10/12/2021,30,15/12/2021,17/12/2021,5/1/2022,EMPTY,6/1/2022,2/3/2022,419,1984,3/3/2022,3.036810169
53,1.3,15/11/2021,7,25/11/2021,15/12/2021,34,17/12/2021,21/12/2021,6/1/2022,EMPTY,6/1/2022,2/3/2022,357,1358,2/3/2022,3.036810169
53,1.4,15/11/2021,7,25/11/2021,13/12/2021,30,16/12/2021,20/12/2021,5/1/2022,LOLIUM,6/1/2022,2/3/2022,382,1822,2/3/2022,3.036810169
53,1.5,15/11/2021,7,25/11/2021,10/12/2021,37,15/12/2021,17/12/2021,5/1/2022,EMPTY,6/1/2022,2/3/2022,425,3280,3/3/2022,3.036810169
53,1.6,15/11/2021,7,25/11/2021,14/12/2021,40,16/12/2021,17/12/2021,6/1/2022,LOLIUM,6/1/2022,2/3/2022,402,1523,2/3/2022,3.036810169
53,1.7,15/11/2021,7,25/11/2021,13/12/2021,22,16/12/2021,20/12/2021,5/1/2022,EMPTY,6/1/2022,2/3/2022,407,2151,3/3/2022,3.036810169
53,1.8,15/11/2021,7,25/11/2021,10/12/2021,40,15/12/2021,17/12/2021,5/1/2022,LOLIUM,6/1/2022,2/3/2022,395,1785,2/3/2022,3.036810169
53,1.9,15/11/2021,7,26/11/2021,10/12/2021,37,15/12/2021,17/12/2021,5/1/2022,LOLIUM,6/1/2022,2/3/2022,433,1588,2/3/2022,3.036810169
53,2.1,29/11/2021,12,13/12/2021,30/12/2021,30,5/1/2022,6/1/2022,25/1/2022,EMPTY,9/2/2022,6/4/2022,350,1051,6/4/2022,3.036810169
58,2.2,3/12/2021,7,14/12/2021,6/1/2022,36,10/1/2022,12/1/2022,27/1/2022,EMPTY,31/1/2022,6/4/2022,277,622,6/4/2022,2.010561036
58,2.3,3/12/2021,7,14/12/2021,10/1/2022,42,10/1/2022,13/1/2022,27/1/2022,LOLIUM,9/2/2022,6/4/2022,231,926,6/4/2022,2.010561036
58,2.4,3/12/2021,7,14/12/2021,6/1/2022,37,10/1/2022,12/1/2022,27/1/2022,EMPTY,31/1/2022,6/4/2022,265,720,6/4/2022,2.010561036
58,2.5,3/12/2021,7,15/12/2021,7/1/2022,29,10/1/2022,13/1/2022,28/1/2022,EMPTY,31/1/2022,6/4/2022,265,541,6/4/2022,2.010561036
58,2.6,3/12/2021,7,15/12/2021,10/1/2022,38,10/1/2022,13/1/2022,25/1/2022,LOLIUM,9/2/2022,6/4/2022,277,710,6/4/2022,2.010561036
58,2.7,3/12/2021,7,15/12/2021,10/1/2022,41,11/1/2022,14/1/2022,28/1/2022,LOLIUM,31/1/2022,6/4/2022,235,539,6/4/2022,2.010561036
58,2.8,3/12/2021,7,14/12/2021,5/1/2022,31,10/1/2022,11/1/2022,27/1/2022,EMPTY,31/1/2022,6/4/2022,258,738,6/4/2022,2.010561036
58,2.9,29/11/2021,12,14/12/2021,10/1/2022,35,10/1/2022,13/1/2022,27/1/2022,LOLIUM,31/1/2022,6/4/2022,258,604,6/4/2022,2.010561036
58,2.1,29/11/2021,12,15/12/2021,10/1/2022,30,10/1/2022,13/1/2022,28/1/2022,EMPTY,31/1/2022,6/4/2022,254,440,6/4/2022,2.010561036
58,2.12,29/11/2021,12,15/12/2021,10/1/2022,42,12/1/2022,17/1/2022,31/1/2022,LOLIUM,31/1/2022,6/4/2022,262,657,6/4/2022,2.010561036
144,2.2,29/11/2021,12,14/12/2021,24/1/2022,126,26/1/2022,31/1/2022,10/2/2022,LOLIUM,9/2/2022,6/4/2022,245,703,6/4/2022,2.882394006
144,2.4,29/11/2021,12,14/12/2021,25/1/2022,120,27/1/2022,31/1/2022,16/1/2022,EMPTY,9/2/2022,6/4/2022,255,578,6/4/2022,2.882394006
144,2.5,29/11/2021,12,14/12/2021,20/1/2022,104,21/1/2022,25/1/2022,8/2/2022,EMPTY,9/2/2022,6/4/2022,238,731,6/4/2022,2.882394006
144,2.8,29/11/2021,12,14/12/2021,20/1/2022,101,24/1/2022,25/1/2022,8/2/2022,EMPTY,9/2/2022,6/4/2022,220,868,6/4/2022,2.882394006
144,2.12,6/12/2021,5,14/12/2021,24/1/2022,121,27/1/2022,31/1/2022,16/2/2022,LOLIUM,9/2/2022,6/4/2022,240,801,6/4/2022,2.882394006
144,2.15,6/12/2021,5,14/12/2021,25/1/2022,132,31/1/2022,31/1/2022,16/2/2022,EMPTY,9/2/2022,6/4/2022,215,869,6/4/2022,2.882394006
144,2.17,6/12/2021,5,17/12/2021,26/1/2022,121,28/1/2022,31/1/2022,16/2/2022,LOLIUM,9/2/2022,6/4/2022,230,458,6/4/2022,2.882394006
144,2.18,6/12/2021,5,14/12/2021,27/1/2022,105,31/1/2022,31/1/2022,16/2/2022,LOLIUM,9/2/2022,6/4/2022,200,404,6/4/2022,2.882394006
144,2.24,6/12/2021,5,14/12/2021,25/1/2022,121,28/1/2022,31/1/2022,16/2/2022,EMPTY,9/2/2022,6/4/2022,205,602,6/4/2022,2.882394006
144,2.3,6/12/2021,5,14/12/2021,25/1/2022,121,27/1/2022,31/1/2022,16/2/2022,LOLIUM,9/2/2022,6/4/2022,212,604,6/4/2022,2.882394006
187,1.1,15/11/2021,7,27/11/2021,29/11/2021,110,5/1/2022,10/1/2022,24/1/2022,EMPTY,6/1/2022,2/3/2022,285,1519,2/3/2022,1.804938424
187,1.2,15/11/2021,7,27/11/2021,30/12/2021,117,30/12/2021,3/1/2022,21/1/2022,EMPTY,6/1/2022,2/3/2022,208,982,2/3/2022,1.804938424
187,1.3,15/11/2021,7,26/11/2021,30/12/2021,118,31/12/2021,5/1/2022,31/1/2022,LOLIUM,6/1/2022,2/3/2022,246,849,3/3/2022,1.804938424
187,1.4,15/11/2021,7,27/11/2021,3/1/2022,127,3/1/2022,6/1/2022,31/1/2022,LOLIUM,6/1/2022,2/3/2022,245,1184,3/3/2022,1.804938424
187,1.5,15/11/2021,7,27/11/2021,3/1/2022,135,5/1/2022,7/1/2022,24/1/2022,EMPTY,6/1/2022,2/3/2022,182,NA,2/3/2022,1.804938424
187,1.6,15/11/2021,7,27/11/2021,5/1/2022,118,6/1/2022,11/1/2022,31/1/2022,LOLIUM,6/1/2022,2/3/2022,289,802,3/3/2022,1.804938424
187,1.9,15/11/2021,7,27/11/2021,3/1/2022,123,3/1/2022,6/1/2022,25/1/2022,LOLIUM,6/1/2022,2/3/2022,164,537,3/3/2022,1.804938424
187,2.1,29/11/2021,12,14/12/2021,24/1/2022,111,25/1/2022,27/1/2022,10/2/2022,EMPTY,9/2/2022,6/4/2022,260,977,6/4/2022,1.804938424
187,2.2,29/11/2021,12,14/12/2021,21/1/2022,109,24/1/2022,26/1/2022,9/2/2022,EMPTY,9/2/2022,6/4/2022,292,1028,6/4/2022,1.804938424
187,2.3,29/11/2021,12,20/12/2021,26/1/2022,114,28/1/2022,31/1/2022,10/2/2022,LOLIUM,9/2/2022,6/4/2022,202,451,6/4/2022,1.804938424
