"","X.1","germnum","X","runway","mom_sil","mom_ht","scaleparm","CIlow","CIhigh","treatment","genotype","replicate","meandisp","lambda_compyes","lambda_compno","meandispcm"
"1",1,12,1,NA,NA,NA,3.000000046,1.607469326,5.031531714,"competition","53",1,0.333333328,1.14285714,12,2.666666624
"2",2,380,2,NA,NA,NA,0.770791251,0.695871199,0.850912831,"no competition","53",2,1.297368126,36.1904761,380,10.378945008
"3",3,140,3,NA,NA,NA,0.818713165,0.690495805,0.961932136,"no competition","53",3,1.221428997,13.3333333,140,9.771431976
"4",4,251,4,NA,NA,NA,1.662252542,1.465017409,1.87647292,"competition","53",4,0.601593305,23.90476185,251,4.81274644
"5",5,360,5,NA,NA,NA,1.071428576,0.96453366,1.185956238,"no competition","53",5,0.933333329,34.2857142,360,7.466666632
"6",6,50,6,NA,NA,NA,2.941188118,2.199584381,3.833441717,"competition","53",6,0.339998654,4.76190475,50,2.719989232
"7",7,605,7,NA,NA,NA,0.964914285,0.890054376,1.04385914,"no competition","53",7,1.036361484,57.61904748,605,8.290891872
"8",8,360,8,NA,NA,NA,2.449014043,2.20464799,2.710756835,"competition","53",8,0.408327589,34.2857142,360,3.266620712
"9",9,608,9,NA,NA,NA,1.888198808,1.742064423,2.042295176,"competition","53",9,0.529605249,57.90476176,608,4.236841992
"10",10,1113,10,NA,NA,NA,1.276376615,1.202851727,1.352839563,"no competition","53",10,0.783467817,105.9999997,1113,6.267742536
"11",11,419,11,NA,NA,NA,3.014388866,2.73490757,3.312318201,"no competition","58",11,0.331742202,18.35901043,419,2.653937616
"12",12,1872,12,NA,NA,NA,2.144350697,2.048653832,2.242941149,"competition","58",12,0.46634163,82.02402749,1872,3.73073304
"13",13,525,13,NA,NA,NA,2.100000148,1.925455957,2.284800158,"no competition","58",13,0.476190443,23.00353335,525,3.809523544
"14",14,794,14,NA,NA,NA,6.203126693,5.781607114,6.644669057,"no competition","58",14,0.161209024,34.79010568,794,1.289672192
"15",15,267,15,NA,NA,NA,12.13636419,10.73834312,13.65097413,"competition","58",15,0.082397,11.69893982,267,0.659176
"16",16,502,16,NA,NA,NA,4.403508848,4.029461108,4.800048551,"competition","58",16,0.22709163,21.99575951,502,1.81673304
"17",17,332,17,NA,NA,NA,2.441184831,2.18792947,2.713281527,"no competition","58",17,0.409637151,14.54699633,332,3.277097208
"18",18,598,18,NA,NA,NA,4.12413792,3.802370883,4.463586486,"competition","58",18,0.242474917,26.20211989,598,1.939799336
"19",19,27,19,NA,NA,NA,3.857142926,2.579400486,5.500683373,"no competition","58",19,0.259259255,1.183038858,27,2.07407404
"20",20,443,20,NA,NA,NA,1.605072517,1.460215042,1.759220819,"competition","58",20,0.62302481,19.41060052,443,4.98419848
"21",21,738,21,NA,NA,NA,2.510204218,2.333431005,2.695696455,"competition","144",21,0.398373962,42.71382599,738,3.186991696
"22",22,1716,22,NA,NA,NA,3.268570751,3.116352163,3.425672051,"no competition","144",22,0.305944119,99.31832711,1716,2.447552952
"23",23,2259,23,NA,NA,NA,5.852289425,5.614304866,6.096998521,"no competition","144",23,0.170873299,130.7459796,2259,1.366986392
"24",24,671,24,NA,NA,NA,2.561068751,2.372148432,2.759773818,"no competition","144",24,0.39046199,38.83601252,671,3.12369592
"25",25,259,25,NA,NA,NA,5.886363748,5.198337064,6.632685915,"competition","144",25,0.169884167,14.99035357,259,1.359073336
"26",26,295,26,NA,NA,NA,3.986485882,3.548738283,4.458895065,"no competition","144",26,0.250847496,17.07395484,295,2.006779968
"27",27,487,27,NA,NA,NA,3.121787368,2.852689317,3.407337431,"competition","144",27,0.320329312,28.18649493,487,2.562634496
"28",28,1290,28,NA,NA,NA,7.678595935,7.267139331,8.105256502,"competition","144",28,0.130232143,74.66237877,1290,1.041857144
"29",29,1706,29,NA,NA,NA,3.019470401,2.878445613,3.165028173,"no competition","144",29,0.331183905,98.73954898,1706,2.64947124
"30",30,405,30,NA,NA,NA,21.31578909,19.30673531,23.45981387,"competition","144",30,0.046913581,23.44051427,405,0.375308648
"31",31,59,31,NA,NA,NA,0.951610138,0.729036174,1.215511583,"no competition","187",31,1.050850511,3.789953323,59,8.406804088
"32",32,429,32,NA,NA,NA,2.918357834,2.650859367,3.203320052,"no competition","187",32,0.34265846,27.55745721,429,2.74126768
"33",33,464,33,NA,NA,NA,4.833333223,4.406802826,5.286574528,"competition","187",33,0.206896556,29.80573461,464,1.655172448
"34",34,325,34,NA,NA,NA,9.285714178,8.31248044,10.33222657,"competition","187",34,0.107692309,20.87686153,325,0.861538472
"35",35,177,35,NA,NA,NA,2.158570329,1.855994084,2.492362034,"no competition","187",35,0.463269594,11.36985997,177,3.706156752
"36",36,306,36,NA,NA,NA,6.510638407,5.808189905,7.267657374,"competition","187",36,0.153594769,19.65636808,306,1.228758152
"37",37,299,37,NA,NA,NA,42.71410268,38.0541788,47.74080323,"competition","187",37,0.023411472,19.2067126,299,0.187291776
"38",38,2271,38,NA,NA,NA,5.305918515,5.090829475,5.52731077,"no competition","187",38,0.188468782,145.8810847,2271,1.507750256
"39",39,2325,39,NA,NA,NA,1.704545461,1.636195447,1.774774363,"no competition","187",39,0.586666664,149.3498555,2325,4.693333312
"40",40,1652,40,NA,NA,NA,11.08724759,10.56116231,11.63053359,"competition","187",40,0.090193711,106.118693,1652,0.721549688
